;;;;;;;;;;;;;;;;;;;;;;;;;;
;BUDIDAYA LOBSTER SEMARANG ID;;;;;;;;;;;;;;;;;;;;;;;;;
;Kartu Persediaan;;;;;;;;;;;;;;;;;;;;;;;;;
;November 2025;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;ITEM;:;"Bibit 2""";;;;;;;; Kode ; A01 ;;;;;;;;;;;;;;
;DATE;;DOC. NO;IN;;;OUT;;;BALANCE;;;;;;;;;;;;;;;;
;;;;QTY; PRICE ; AMOUNT ;QTY; PRICE ; AMOUNT ;QTY; PRICE ; AMOUNT ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nov-25;1;Saldo awal;;;;;;;800; Rp1.500,00 ; Rp1.200.000,00 ;;;;;;;;;;;;;;
;;3;Penjualan;;;;50; Rp1.500,00 ; Rp75.000,00 ;750; Rp1.500,00 ; Rp1.125.000,00 ;;;;;;;;;;;;;;
;;13;Penjualan;;;;200; Rp1.500,00 ; Rp300.000,00 ;550; Rp1.500,00 ; Rp825.000,00 ;;;;;;;;;;;;;;
;;20;Penjualan;;;;300; Rp1.500,00 ; Rp450.000,00 ;250; Rp1.500,00 ; Rp375.000,00 ;;;;;;;;;;;;;;
;;22;Penjualan;;;;200; Rp1.500,00 ; Rp300.000,00 ;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;;;;;;;;;;50; Rp1.500,00 ; Rp75.000,00 ;;;;;;;;;;;;;;
;SALDO AKHIR PERSEDIAAN;;;;;;;;;;;;;;;;;;;;;;;;;
